pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1080005","2017","Arsenic","Sleepy Eye","Brown","Sleepy Eye","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","3599","27015"
"1080008","2017","Arsenic","Springfield","Brown","Springfield","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","2129","27015"
"1090001","2017","Arsenic","Barnum","Carlton","Barnum","Groundwater","2.86 ug/L","2.86 ug/L","617","27017"
"1090003","2017","Arsenic","Carlton","Carlton","Carlton","Groundwater","2.6 ug/L","2.6 ug/L","996","27017"
"1090005","2017","Arsenic","Cloquet","Carlton","Cloquet","Groundwater","1.97 ug/L","2.27 ug/L","11295","27017"
"1090007","2017","Arsenic","Cromwell","Carlton","Cromwell","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","229","27017"
"1090008","2017","Arsenic","Kettle River","Carlton","Kettle River","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","180","27017"
"1090009","2017","Arsenic","Moose Lake","Carlton","Moose Lake","Groundwater","0.75 ug/L","0.75 ug/L","1259","27017"
"1090010","2017","Arsenic","MN Correctional Facility - Moose Lake","Carlton","Moose Lake","Groundwater","4.56 ug/L","4.88 ug/L","975","27017"
"1090011","2017","Arsenic","Scanlon","Carlton","Scanlon","Purchased Groundwater","1.97 ug/L","2.27 ug/L","987","27017"
"1090013","2017","Arsenic","Wrenshall","Carlton","Wrenshall","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","399","27017"
"1100017","2017","Arsenic","Carver","Carver","Carver","Groundwater","1.36 ug/L","1.36 ug/L","4473","27019"
"1100001","2017","Arsenic","Chanhassen","Carver","Chanhassen","Groundwater","0.89 ug/L","1.14 ug/L","24951","27019"
"1100002","2017","Arsenic","Chaska","Carver","Chaska","Groundwater","1.01 ug/L","1.52 ug/L","26016","27019"
"1100004","2017","Arsenic","Cologne","Carver","Cologne","Groundwater","5.8 ug/L","5.8 ug/L","1700","27019"
"1100005","2017","Arsenic","Hamburg","Carver","Hamburg","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","530","27019"
"1100006","2017","Arsenic","Mayer","Carver","Mayer","Groundwater","6.5 ug/L","6.5 ug/L","1900","27019"
"1100007","2017","Arsenic","New Germany","Carver","New Germany","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","422","27019"
"1100019","2017","Arsenic","Norwood-Young America","Carver","Norwood Young America","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","3583","27019"
"1100015","2017","Arsenic","Crown College","Carver","St. Bonifacius","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","520","27019"
"1100009","2017","Arsenic","Victoria","Carver","Victoria","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","8325","27019"
"1100010","2017","Arsenic","Waconia","Carver","Waconia","Groundwater","1.96 ug/L","1.96 ug/L","11065","27019"
"1100012","2017","Arsenic","Watertown","Carver","Watertown","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","4286","27019"
"1110002","2017","Arsenic","Backus","Cass","Backus","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","250","27021"
"1110006","2017","Arsenic","Cass Lake","Cass","Cass Lake","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","750","27021"
"1111112","2017","Arsenic","East Point Townhomes","Cass","East Gull Lake","Groundwater","6.33 ug/L","6.82 ug/L","75","27021"
"1110008","2017","Arsenic","Hackensack","Cass","Hackensack","Groundwater","1.01 ug/L","1.01 ug/L","313","27021"
"1110034","2017","Arsenic","Townsedge Estates","Cass","Longville","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","65","27021"
"1110030","2017","Arsenic","Pillager","Cass","Pillager","Groundwater","3.3 ug/L","3.3 ug/L","469","27021"
"1110019","2017","Arsenic","Pine River","Cass","Pine River","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","941","27021"
"1110011","2017","Arsenic","Remer","Cass","Remer","Groundwater","1.5 ug/L","1.5 ug/L","369","27021"
"1110013","2017","Arsenic","Walker","Cass","Walker","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","934","27021"
"1110033","2017","Arsenic","Timberlane Estates","Cass","Walker","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","64","27021"
"1120001","2017","Arsenic","Clara City","Chippewa","Clara City","Groundwater","1.73 ug/L","1.73 ug/L","1360","27023"
"1120002","2017","Arsenic","Maynard","Chippewa","Maynard","Groundwater","4.06 ug/L","4.61 ug/L","388","27023"
"1120003","2017","Arsenic","Milan","Chippewa","Milan","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","369","27023"
